text,label
"URGENT: Your PayPal account has been temporarily limited due to suspicious login attempts.",1
"Security Alert: Microsoft 365 password expires in 24 hours. Click here to keep your current password.",1
"Dear customer, your bank account is suspended. Please verify your identity immediately.",1
"You have a pending package delivery. Please confirm your details via the link below or it will be returned.",1
"IT Helpdesk: We detected malware on your workstation. Please download this tool to clean your PC.",1
"Congratulations! You've been selected to win a $1000 Amazon Gift Card. Claim it now.",1
"Action Required: Your email quota is full. Upgrade your storage for free by logging in here.",1
"Invoice #99824 is overdue. Please find the attached document for payment details.",1
"Your Instagram account was logged in from a new device in Russia. If this wasn't you, click here.",1
"HR Department: Important updates regarding your salary and benefits for this year. Open attachment.",1
"Hello team, please find attached the presentation for tomorrow's meeting.",0
"Can we reschedule our sync to 3 PM? I have a conflict with the SOC daily briefing.",0
"Your GitHub pull request has been merged successfully by Hussain.",0
"The project documentation is available on the internal server, please review it.",0
"Let's grab a coffee after the network security lab.",0
"Dr. Rana, I have attached the final draft of our graduation project for your review.",0
"I checked the firewall logs and didn't find any malicious IP addresses today.",0
"Are we still on for the study group session regarding the operating systems exam?",0
"The new SIEM dashboard looks great, good job on the UI design.",0
"Please remember to submit your weekly progress report by Friday afternoon.",0
