text,label
"عاجل: تم إيقاف حسابك البنكي مؤقتاً بسبب نشاط مشبوه، يرجى تحديث بياناتك",1
"لقد تم تسجيل محاولة دخول غير مصرح بها لحسابك، اضغط هنا لتأمين الحساب",1
"مبروك! لقد ربحت سيارة فاخرة وجائزة مالية، اتصل الآن على هذا الرقم",1
"يرجى النقر على الرابط لتأكيد استلام الشحنة الخاصة بك وإلا سيتم إرجاعها",1
"تحذير أمني: حسابك في خطر، الرجاء إرسال كلمة المرور ورمز التفعيل",1
"إشعار من الدعم الفني: سيتم إغلاق بريدك الإلكتروني خلال 24 ساعة",1
"السلام عليكم دكتورة رنا، نرفق لكم العرض التقديمي الخاص بمشروع التخرج",0
"موعدنا غدا الساعة العاشرة صباحا في مختبر الشبكات لاختبار السيرفر",0
"أرجو مراجعة الكود المرفق للتأكد من خلوه من الأخطاء البرمجية قبل الرفع",0
"أكدت الجامعة التكنولوجية أن امتحانات الفصل الدراسي ستبدأ الأسبوع القادم",0
"تم تحويل الراتب إلى حسابك البنكي بشكل طبيعي هذا الشهر",0
"صديقي حسين، كيف حالك؟ متى نلتقي لمناقشة تصميم واجهة النظام؟",0
